CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 3.773438 1701174952.4257
MEM 33.207031 1701174952.5628
MEM 49.914062 1701174952.7146
MEM 69.617188 1701174952.8492
MEM 84.843750 1701174952.9865
MEM 91.847656 1701174953.1235
MEM 105.875000 1701174953.2603
MEM 116.445312 1701174953.3972
MEM 137.742188 1701174953.5345
MEM 148.792969 1701174953.6865
MEM 165.757812 1701174953.8321
MEM 199.558594 1701174953.9663
MEM 265.703125 1701174954.0997
MEM 292.050781 1701174954.2330
MEM 342.875000 1701174954.3667
MEM 366.496094 1701174954.5023
MEM 366.496094 1701174954.6367
MEM 382.191406 1701174954.7702
MEM 389.128906 1701174954.9042
MEM 397.613281 1701174955.0383
MEM 400.886719 1701174955.1723
MEM 411.582031 1701174955.3056
MEM 411.582031 1701174955.4388
MEM 412.933594 1701174955.5718
MEM 424.445312 1701174955.7049
MEM 430.890625 1701174955.8383
MEM 435.328125 1701174955.9718
MEM 438.878906 1701174956.1073
MEM 441.914062 1701174956.2419
MEM 448.316406 1701174956.3761
MEM 464.699219 1701174956.5098
MEM 476.304688 1701174956.6432
MEM 482.492188 1701174956.7764
MEM 488.679688 1701174956.9098
MEM 494.867188 1701174957.0432
MEM 500.796875 1701174957.1775
MEM 506.984375 1701174957.3111
MEM 508.332031 1701174957.4451
MEM 508.589844 1701174957.5779
MEM 509.363281 1701174957.7132
MEM 510.136719 1701174957.8467
MEM 510.910156 1701174957.9801
MEM 511.601562 1701174958.1135
MEM 512.105469 1701174958.2467
MEM 512.878906 1701174958.3798
MEM 513.136719 1701174958.5133
MEM 513.652344 1701174958.6466
MEM 513.910156 1701174958.7798
MEM 514.167969 1701174958.9124
MEM 514.425781 1701174959.0455
MEM 514.683594 1701174959.1814
MEM 514.992188 1701174959.3158
MEM 515.218750 1701174959.4485
MEM 515.218750 1701174959.5815
MEM 515.218750 1701174959.7147
MEM 515.218750 1701174959.8496
MEM 515.511719 1701174959.9825
MEM 515.769531 1701174960.1157
MEM 516.027344 1701174960.2484
MEM 516.285156 1701174960.3810
MEM 516.542969 1701174960.5142
MEM 516.773438 1701174960.6476
MEM 517.023438 1701174960.7827
MEM 517.347656 1701174960.9164
MEM 517.664062 1701174961.0500
MEM 517.906250 1701174961.1841
MEM 518.093750 1701174961.3175
MEM 518.484375 1701174961.4509
MEM 518.734375 1701174961.5842
MEM 519.019531 1701174961.7171
MEM 519.019531 1701174961.8503
MEM 519.156250 1701174961.9834
MEM 519.371094 1701174962.1162
MEM 519.613281 1701174962.2497
MEM 519.863281 1701174962.3844
MEM 520.121094 1701174962.5176
MEM 520.378906 1701174962.6504
MEM 520.636719 1701174962.7835
MEM 520.894531 1701174962.9162
MEM 521.152344 1701174963.0495
MEM 521.410156 1701174963.1835
MEM 521.667969 1701174963.3171
MEM 521.925781 1701174963.4509
MEM 522.183594 1701174963.5841
MEM 522.460938 1701174963.7166
MEM 522.460938 1701174963.8485
MEM 522.460938 1701174963.9837
MEM 522.898438 1701174964.1173
MEM 523.156250 1701174964.2502
MEM 523.414062 1701174964.3836
MEM 523.671875 1701174964.5170
MEM 523.671875 1701174964.6510
MEM 524.152344 1701174964.7844
MEM 524.371094 1701174964.9168
MEM 524.625000 1701174965.0496
MEM 524.851562 1701174965.1827
MEM 525.132812 1701174965.3158
MEM 525.382812 1701174965.4508
MEM 525.585938 1701174965.5850
MEM 525.804688 1701174965.7183
MEM 526.121094 1701174965.8516
MEM 526.121094 1701174965.9853
MEM 526.152344 1701174966.1188
