CMDLINE /Users/Q642074/miniconda3/envs/qiro/bin/python time_test_run.py
MEM 0.171875 1701178967.0590
MEM 24.250000 1701178967.1707
MEM 31.718750 1701178967.2819
MEM 38.781250 1701178967.3955
MEM 45.000000 1701178967.4994
MEM 51.718750 1701178967.6071
MEM 62.968750 1701178967.7154
MEM 69.437500 1701178967.8235
MEM 81.703125 1701178967.9312
MEM 89.125000 1701178968.0392
MEM 98.187500 1701178968.1471
MEM 107.734375 1701178968.2552
MEM 119.343750 1701178968.3632
MEM 127.453125 1701178968.4713
MEM 133.531250 1701178968.5804
MEM 137.328125 1701178968.6914
MEM 144.453125 1701178968.7987
MEM 151.859375 1701178968.9025
MEM 159.546875 1701178969.0105
MEM 179.171875 1701178969.1186
MEM 205.453125 1701178969.2266
MEM 226.640625 1701178969.3346
MEM 237.656250 1701178969.4425
MEM 249.390625 1701178969.5500
MEM 256.156250 1701178969.6580
MEM 266.843750 1701178969.7660
MEM 271.500000 1701178969.8741
MEM 279.531250 1701178969.9802
MEM 286.296875 1701178970.0881
MEM 293.234375 1701178970.1961
MEM 295.937500 1701178970.3042
MEM 303.015625 1701178970.4122
MEM 307.140625 1701178970.5201
MEM 314.359375 1701178970.6283
MEM 324.531250 1701178970.7364
MEM 337.453125 1701178970.8445
MEM 342.328125 1701178970.9524
MEM 352.484375 1701178971.0603
MEM 363.093750 1701178971.1681
MEM 368.203125 1701178971.2761
MEM 370.656250 1701178971.3840
MEM 375.187500 1701178971.4920
MEM 375.625000 1701178971.6002
MEM 375.656250 1701178971.7083
MEM 376.156250 1701178971.8135
MEM 376.093750 1701178971.9214
MEM 376.578125 1701178972.0293
MEM 377.000000 1701178972.1372
MEM 376.468750 1701178972.2452
MEM 376.906250 1701178972.3530
MEM 377.406250 1701178972.4609
MEM 377.484375 1701178972.5690
MEM 378.437500 1701178972.6769
MEM 378.890625 1701178972.7848
MEM 379.390625 1701178972.8928
MEM 382.046875 1701178973.0007
MEM 389.625000 1701178973.1086
MEM 393.828125 1701178973.2165
MEM 391.250000 1701178973.3244
MEM 391.468750 1701178973.4324
MEM 389.703125 1701178973.5403
MEM 386.203125 1701178973.6483
MEM 384.640625 1701178973.7562
MEM 385.062500 1701178973.8641
MEM 391.437500 1701178973.9721
MEM 392.343750 1701178974.0801
MEM 398.187500 1701178974.1880
MEM 397.875000 1701178974.2958
MEM 397.875000 1701178974.4038
MEM 397.343750 1701178974.5117
MEM 397.781250 1701178974.6195
MEM 398.218750 1701178974.7274
MEM 398.671875 1701178974.8353
MEM 399.140625 1701178974.9431
MEM 399.578125 1701178975.0511
MEM 400.031250 1701178975.1590
MEM 400.375000 1701178975.2670
MEM 400.421875 1701178975.3749
MEM 400.968750 1701178975.4828
MEM 401.375000 1701178975.5907
MEM 401.828125 1701178975.6985
MEM 402.250000 1701178975.8066
MEM 402.703125 1701178975.9145
MEM 403.281250 1701178976.0224
MEM 400.734375 1701178976.1303
MEM 400.078125 1701178976.2385
MEM 400.078125 1701178976.3464
MEM 399.625000 1701178976.4543
MEM 403.453125 1701178976.5622
MEM 403.859375 1701178976.6703
MEM 404.609375 1701178976.7784
MEM 404.000000 1701178976.8864
MEM 402.578125 1701178976.9944
MEM 403.078125 1701178977.1024
MEM 405.921875 1701178977.2104
MEM 406.093750 1701178977.3184
MEM 407.609375 1701178977.4263
MEM 407.234375 1701178977.5312
MEM 405.859375 1701178977.6391
MEM 408.453125 1701178977.7448
MEM 411.718750 1701178977.8526
MEM 412.187500 1701178977.9604
MEM 410.609375 1701178978.0685
MEM 409.046875 1701178978.1764
MEM 406.468750 1701178978.2843
MEM 406.500000 1701178978.3874
MEM 405.906250 1701178978.4953
MEM 406.375000 1701178978.6032
MEM 406.828125 1701178978.7112
MEM 410.750000 1701178978.8192
MEM 414.890625 1701178978.9273
MEM 414.328125 1701178979.0352
MEM 414.234375 1701178979.1430
MEM 414.671875 1701178979.2508
MEM 417.250000 1701178979.3586
MEM 418.718750 1701178979.4666
MEM 422.515625 1701178979.5744
MEM 422.000000 1701178979.6824
MEM 417.390625 1701178979.7902
MEM 417.812500 1701178979.8982
MEM 418.265625 1701178980.0062
MEM 418.703125 1701178980.1143
MEM 419.125000 1701178980.2192
MEM 419.546875 1701178980.3272
MEM 419.968750 1701178980.4351
MEM 419.046875 1701178980.5431
MEM 417.328125 1701178980.6511
MEM 416.828125 1701178980.7590
MEM 414.218750 1701178980.8673
MEM 414.906250 1701178980.9757
MEM 415.984375 1701178981.0839
MEM 421.109375 1701178981.1919
MEM 422.656250 1701178981.2999
MEM 424.218750 1701178981.4079
MEM 425.250000 1701178981.5154
MEM 424.703125 1701178981.6239
MEM 424.750000 1701178981.7322
MEM 425.343750 1701178981.8404
MEM 422.984375 1701178981.9488
MEM 418.390625 1701178982.0570
MEM 412.171875 1701178982.1653
MEM 412.562500 1701178982.2736
MEM 412.953125 1701178982.3815
MEM 412.015625 1701178982.4894
MEM 412.406250 1701178982.5975
MEM 412.828125 1701178982.7020
MEM 413.218750 1701178982.8069
MEM 421.328125 1701178982.9150
MEM 424.015625 1701178983.0242
MEM 430.687500 1701178983.1321
MEM 441.578125 1701178983.2355
MEM 443.078125 1701178983.3435
MEM 440.203125 1701178983.4515
MEM 440.468750 1701178983.5605
MEM 440.468750 1701178983.6687
MEM 443.515625 1701178983.7766
MEM 447.046875 1701178983.8848
MEM 447.046875 1701178983.9881
MEM 440.062500 1701178984.0961
MEM 447.203125 1701178984.2041
MEM 447.421875 1701178984.3122
MEM 447.421875 1701178984.4201
MEM 441.062500 1701178984.5281
MEM 441.062500 1701178984.6362
MEM 442.765625 1701178984.7440
MEM 447.078125 1701178984.8520
MEM 443.953125 1701178984.9600
MEM 443.953125 1701178985.0681
MEM 443.953125 1701178985.1760
MEM 449.015625 1701178985.2841
MEM 449.031250 1701178985.3884
MEM 447.031250 1701178985.4940
MEM 447.031250 1701178985.6019
MEM 451.312500 1701178985.7099
MEM 451.312500 1701178985.8179
MEM 447.328125 1701178985.9259
MEM 447.328125 1701178986.0339
MEM 447.328125 1701178986.1419
MEM 448.281250 1701178986.2461
MEM 444.296875 1701178986.3541
MEM 444.296875 1701178986.4619
