CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run1.py
MEM 0.007812 1701186922.4571
MEM 32.187500 1701186922.6280
MEM 50.160156 1701186922.7989
MEM 81.644531 1701186922.9624
MEM 87.855469 1701186923.1334
MEM 97.761719 1701186923.3047
MEM 112.406250 1701186923.4758
MEM 137.855469 1701186923.6467
MEM 155.457031 1701186923.8179
MEM 180.183594 1701186923.9885
MEM 260.839844 1701186924.1594
MEM 290.347656 1701186924.3306
MEM 347.652344 1701186924.4734
MEM 381.148438 1701186924.6446
MEM 394.214844 1701186924.8157
MEM 409.062500 1701186924.9863
MEM 412.902344 1701186925.1568
MEM 426.425781 1701186925.3272
MEM 432.468750 1701186925.4975
MEM 437.625000 1701186925.6615
MEM 440.976562 1701186925.8318
MEM 458.058594 1701186926.0038
MEM 474.484375 1701186926.1744
MEM 480.671875 1701186926.3453
MEM 486.859375 1701186926.5161
MEM 492.789062 1701186926.6860
MEM 498.976562 1701186926.8485
MEM 504.648438 1701186927.0185
MEM 508.257812 1701186927.1890
MEM 509.804688 1701186927.3586
MEM 510.835938 1701186927.5302
MEM 511.609375 1701186927.7010
MEM 512.378906 1701186927.8718
MEM 512.894531 1701186928.0425
MEM 513.667969 1701186928.2129
MEM 514.183594 1701186928.3835
MEM 514.699219 1701186928.5538
MEM 514.957031 1701186928.7244
MEM 515.472656 1701186928.8947
MEM 515.730469 1701186929.0492
MEM 515.988281 1701186929.2202
MEM 516.246094 1701186929.3908
MEM 516.503906 1701186929.5538
MEM 516.503906 1701186929.7253
MEM 516.503906 1701186929.8961
MEM 516.761719 1701186930.0669
MEM 517.019531 1701186930.2378
MEM 517.277344 1701186930.4086
MEM 517.535156 1701186930.5794
MEM 517.792969 1701186930.7509
MEM 518.308594 1701186930.9216
MEM 518.566406 1701186931.0924
MEM 518.824219 1701186931.2632
MEM 519.082031 1701186931.4338
MEM 519.597656 1701186931.6042
MEM 519.855469 1701186931.7744
MEM 520.113281 1701186931.9438
MEM 520.371094 1701186932.1138
MEM 520.371094 1701186932.2784
MEM 520.371094 1701186932.4493
MEM 520.628906 1701186932.6163
MEM 520.886719 1701186932.7709
MEM 521.144531 1701186932.9409
MEM 521.402344 1701186933.1109
MEM 521.660156 1701186933.2809
MEM 521.917969 1701186933.4509
MEM 522.175781 1701186933.6209
MEM 522.433594 1701186933.7909
MEM 522.433594 1701186933.9541
MEM 522.691406 1701186934.1255
MEM 522.949219 1701186934.2969
MEM 523.207031 1701186934.4680
MEM 523.464844 1701186934.6396
MEM 523.722656 1701186934.8103
MEM 523.980469 1701186934.9820
MEM 523.980469 1701186935.1531
MEM 524.238281 1701186935.3242
MEM 524.496094 1701186935.4952
MEM 524.753906 1701186935.6667
MEM 525.011719 1701186935.8340
MEM 525.269531 1701186936.0053
MEM 525.527344 1701186936.1763
MEM 525.785156 1701186936.3473
MEM 525.785156 1701186936.5180
MEM 526.042969 1701186936.6848
MEM 526.300781 1701186936.8565
MEM 526.558594 1701186937.0279
MEM 526.816406 1701186937.1983
MEM 527.074219 1701186937.3691
MEM 527.332031 1701186937.5395
MEM 527.589844 1701186937.7068
MEM 527.589844 1701186937.8774
MEM 527.589844 1701186938.0478
MEM 528.105469 1701186938.2180
MEM 528.363281 1701186938.3885
MEM 528.621094 1701186938.5619
MEM 528.878906 1701186938.7215
MEM 528.878906 1701186938.8927
MEM 529.136719 1701186939.0600
MEM 529.394531 1701186939.2304
MEM 529.652344 1701186939.3968
MEM 529.910156 1701186939.5554
MEM 530.167969 1701186939.7263
MEM 530.425781 1701186939.8968
MEM 530.683594 1701186940.0515
MEM 530.941406 1701186940.2093
MEM 531.199219 1701186940.3679
MEM 531.199219 1701186940.5314
MEM 531.199219 1701186940.7019
MEM 531.457031 1701186940.8718
MEM 531.714844 1701186941.0414
MEM 531.972656 1701186941.2117
MEM 532.230469 1701186941.3810
MEM 532.488281 1701186941.5505
MEM 532.746094 1701186941.7224
MEM 533.003906 1701186941.8855
MEM 533.261719 1701186942.0568
MEM 533.519531 1701186942.2240
MEM 533.519531 1701186942.3949
MEM 533.777344 1701186942.5576
MEM 534.035156 1701186942.7209
MEM 534.035156 1701186942.8918
MEM 534.292969 1701186943.0627
MEM 534.550781 1701186943.2332
MEM 534.808594 1701186943.4051
MEM 535.066406 1701186943.5770
MEM 535.066406 1701186943.7444
MEM 535.324219 1701186943.9157
MEM 535.582031 1701186944.0868
MEM 535.839844 1701186944.2572
MEM 536.097656 1701186944.4280
MEM 536.355469 1701186944.5950
MEM 536.613281 1701186944.7659
MEM 536.871094 1701186944.9365
MEM 537.128906 1701186945.1079
MEM 537.386719 1701186945.2792
MEM 537.644531 1701186945.4499
MEM 537.902344 1701186945.6211
MEM 538.160156 1701186945.7921
MEM 538.160156 1701186945.9633
MEM 538.417969 1701186946.1343
MEM 538.675781 1701186946.3050
MEM 538.933594 1701186946.4719
MEM 538.933594 1701186946.6267
MEM 538.933594 1701186946.7976
MEM 539.449219 1701186946.9688
MEM 539.707031 1701186947.1398
MEM 539.964844 1701186947.3108
MEM 540.222656 1701186947.4812
MEM 540.480469 1701186947.6521
MEM 540.738281 1701186947.8235
MEM 540.996094 1701186947.9960
MEM 540.996094 1701186948.1671
MEM 541.253906 1701186948.3392
MEM 541.511719 1701186948.5100
MEM 541.769531 1701186948.6817
MEM 542.027344 1701186948.8365
MEM 542.285156 1701186948.9993
MEM 542.542969 1701186949.1706
MEM 542.800781 1701186949.3417
MEM 542.800781 1701186949.5097
MEM 542.800781 1701186949.6816
MEM 543.058594 1701186949.8542
MEM 543.316406 1701186950.0186
MEM 543.574219 1701186950.1911
MEM 543.832031 1701186950.3635
MEM 544.089844 1701186950.5357
MEM 544.347656 1701186950.7081
MEM 544.605469 1701186950.8800
MEM 544.863281 1701186951.0515
MEM 545.121094 1701186951.2219
MEM 545.378906 1701186951.3810
MEM 545.378906 1701186951.5515
MEM 545.636719 1701186951.7231
MEM 545.894531 1701186951.8948
MEM 546.152344 1701186952.0664
MEM 546.410156 1701186952.2372
MEM 546.667969 1701186952.4079
MEM 546.925781 1701186952.5785
MEM 546.925781 1701186952.7391
MEM 546.925781 1701186952.9104
MEM 547.183594 1701186953.0778
MEM 547.441406 1701186953.2488
MEM 547.699219 1701186953.4161
MEM 547.957031 1701186953.5874
MEM 548.214844 1701186953.7541
MEM 548.472656 1701186953.9246
MEM 548.730469 1701186954.0959
MEM 548.988281 1701186954.2682
MEM 549.246094 1701186954.4395
MEM 549.503906 1701186954.6107
MEM 549.761719 1701186954.7819
MEM 550.019531 1701186954.9530
MEM 550.277344 1701186955.1241
MEM 550.535156 1701186955.2959
MEM 550.792969 1701186955.4670
MEM 551.050781 1701186955.6384
MEM 551.050781 1701186955.8101
MEM 551.308594 1701186955.9786
MEM 551.308594 1701186956.1514
MEM 551.308594 1701186956.3232
MEM 551.824219 1701186956.4955
MEM 552.082031 1701186956.6676
MEM 552.339844 1701186956.8395
MEM 552.597656 1701186957.0114
MEM 552.855469 1701186957.1833
MEM 553.113281 1701186957.3549
MEM 553.113281 1701186957.5263
MEM 553.371094 1701186957.6982
MEM 553.628906 1701186957.8700
MEM 553.886719 1701186958.0419
MEM 554.144531 1701186958.2137
MEM 554.402344 1701186958.3773
MEM 559.601562 1701186958.5490
MEM 564.757812 1701186958.7287
MEM 570.687500 1701186958.9004
MEM 576.101562 1701186959.0722
MEM 581.515625 1701186959.2442
MEM 586.707031 1701186959.3832
MEM 586.707031 1701186959.5190
MEM 586.707031 1701186959.6578
MEM 586.707031 1701186959.7930
MEM 586.707031 1701186959.9281
MEM 586.707031 1701186960.0626
MEM 586.707031 1701186960.1977
MEM 586.707031 1701186960.3327
MEM 586.707031 1701186960.4682
MEM 586.707031 1701186960.6064
MEM 587.535156 1701186960.7711
