CMDLINE python RQAOA_run_recalculations_v2.py
MEM 3.718750 1706516052.7354
MEM 35.546875 1706516052.8751
MEM 54.718750 1706516053.0254
MEM 81.902344 1706516053.1646
MEM 89.144531 1706516053.3008
MEM 101.636719 1706516053.4367
MEM 115.746094 1706516053.5742
MEM 141.890625 1706516053.7093
MEM 150.359375 1706516053.8453
MEM 170.132812 1706516053.9822
MEM 243.093750 1706516054.1205
MEM 283.425781 1706516054.2576
MEM 317.179688 1706516054.3946
MEM 363.144531 1706516054.5313
MEM 363.144531 1706516054.6678
MEM 363.144531 1706516054.8037
MEM 377.339844 1706516054.9395
MEM 390.148438 1706516055.0774
MEM 404.902344 1706516055.2166
MEM 407.035156 1706516055.3576
MEM 407.035156 1706516055.5250
MEM 409.812500 1706516055.7057
MEM 420.429688 1706516055.8705
MEM 426.355469 1706516056.0098
MEM 432.335938 1706516056.1474
MEM 435.226562 1706516056.2837
MEM 442.117188 1706516056.4197
MEM 757.246094 1706516056.5558
MEM 1081.722656 1706516056.6916
MEM 1096.375000 1706516056.8277
MEM 1108.746094 1706516056.9632
MEM 1125.503906 1706516057.0988
MEM 1139.167969 1706516057.2347
MEM 1155.144531 1706516057.3718
MEM 1165.156250 1706516057.5113
MEM 1174.566406 1706516057.6551
MEM 1189.449219 1706516057.7949
MEM 1203.886719 1706516057.9370
MEM 1219.355469 1706516058.0792
MEM 1233.277344 1706516058.2204
MEM 1248.746094 1706516058.3607
MEM 1263.695312 1706516058.5014
MEM 1277.703125 1706516058.6414
MEM 1292.902344 1706516058.7814
MEM 1308.886719 1706516058.9214
MEM 1324.093750 1706516059.0616
MEM 1340.851562 1706516059.2015
MEM 1344.238281 1706516059.3518
MEM 1348.664062 1706516059.4913
MEM 1364.183594 1706516059.6309
MEM 1380.140625 1706516059.7711
MEM 1394.144531 1706516059.9099
MEM 1407.808594 1706516060.0498
MEM 1424.308594 1706516060.1901
MEM 1439.003906 1706516060.3300
MEM 1454.988281 1706516060.4701
MEM 1468.136719 1706516060.6102
MEM 1483.605469 1706516060.7507
MEM 1498.816406 1706516060.8907
MEM 1514.015625 1706516061.0313
MEM 1530.988281 1706516061.1713
MEM 1538.703125 1706516061.3122
MEM 1545.253906 1706516061.4504
MEM 1557.042969 1706516061.5901
MEM 1569.117188 1706516061.7276
MEM 1584.835938 1706516061.8676
MEM 1600.496094 1706516062.0078
MEM 1614.902344 1706516062.1478
MEM 1632.656250 1706516062.2865
MEM 1644.488281 1706516062.4261
MEM 1660.937500 1706516062.5656
MEM 1677.148438 1706516062.7048
MEM 1691.566406 1706516062.8441
MEM 1707.527344 1706516062.9835
MEM 1721.156250 1706516063.1235
MEM 1737.382812 1706516063.2640
MEM 1752.054688 1706516063.4045
MEM 1761.304688 1706516063.5431
MEM 1765.390625 1706516063.6823
MEM 1776.417969 1706516063.8208
MEM 1790.078125 1706516063.9600
MEM 1806.320312 1706516064.0982
MEM 1821.273438 1706516064.2374
MEM 1837.515625 1706516064.3754
MEM 1851.437500 1706516064.5137
MEM 1866.648438 1706516064.6515
MEM 1883.921875 1706516064.7890
MEM 1895.007812 1706516064.9271
MEM 1911.765625 1706516065.0653
MEM 1927.750000 1706516065.2033
MEM 1942.445312 1706516065.3419
MEM 1956.625000 1706516065.4800
MEM 1972.351562 1706516065.6190
MEM 1987.046875 1706516065.7573
MEM 1999.675781 1706516065.8951
MEM 2007.152344 1706516066.0334
MEM 2019.781250 1706516066.1719
MEM 2032.156250 1706516066.3100
MEM 2040.406250 1706516066.4505
MEM 2053.292969 1706516066.5934
MEM 2068.500000 1706516066.7322
MEM 2085.000000 1706516066.8795
MEM 2101.242188 1706516067.0190
MEM 2115.421875 1706516067.1581
MEM 2125.792969 1706516067.2973
MEM 2130.332031 1706516067.4368
MEM 2133.683594 1706516067.5758
MEM 2136.511719 1706516067.7151
MEM 2138.769531 1706516067.8539
MEM 2139.578125 1706516067.9931
MEM 2142.152344 1706516068.1325
MEM 2143.074219 1706516068.2721
MEM 2146.621094 1706516068.4119
MEM 2148.683594 1706516068.5511
MEM 2149.457031 1706516068.6937
MEM 2151.777344 1706516068.8351
MEM 2152.550781 1706516068.9835
MEM 2152.808594 1706516069.1220
MEM 2152.808594 1706516069.2599
MEM 2152.808594 1706516069.3972
MEM 2152.808594 1706516069.5358
MEM 2154.871094 1706516069.6701
MEM 2155.386719 1706516069.8063
MEM 2155.644531 1706516069.9427
MEM 2158.222656 1706516070.0790
MEM 2162.605469 1706516070.2151
MEM 2163.894531 1706516070.3504
MEM 2163.894531 1706516070.4860
MEM 2165.699219 1706516070.6222
MEM 2165.699219 1706516070.7691
MEM 2165.699219 1706516070.9045
MEM 2167.503906 1706516071.0395
MEM 2168.019531 1706516071.1758
MEM 2169.050781 1706516071.3115
MEM 2171.886719 1706516071.4478
MEM 2172.402344 1706516071.5847
MEM 2175.753906 1706516071.7203
MEM 2177.300781 1706516071.8555
MEM 2178.074219 1706516071.9908
MEM 2178.332031 1706516072.1266
MEM 2178.332031 1706516072.2627
MEM 2178.332031 1706516072.3989
MEM 2178.332031 1706516072.5354
MEM 2178.332031 1706516072.6746
MEM 2180.394531 1706516072.8117
MEM 2181.167969 1706516072.9474
MEM 2183.230469 1706516073.0835
MEM 2183.230469 1706516073.2194
MEM 2183.230469 1706516073.3550
MEM 2183.746094 1706516073.4905
MEM 2183.746094 1706516073.6262
MEM 2188.128906 1706516073.7623
MEM 2190.707031 1706516073.8993
MEM 2190.707031 1706516074.0343
MEM 2190.707031 1706516074.1693
MEM 2191.476562 1706516074.3068
MEM 2192.765625 1706516074.4420
MEM 2192.765625 1706516074.5767
MEM 2193.539062 1706516074.7119
MEM 2198.695312 1706516074.8503
MEM 2198.695312 1706516074.9879
MEM 2199.210938 1706516075.1271
MEM 2199.468750 1706516075.2659
MEM 2201.015625 1706516075.4049
MEM 2202.300781 1706516075.5434
MEM 2202.300781 1706516075.6828
MEM 2202.300781 1706516075.8221
MEM 2202.300781 1706516075.9615
MEM 2203.332031 1706516076.1004
MEM 2204.105469 1706516076.2390
MEM 2204.621094 1706516076.3782
MEM 2205.910156 1706516076.5172
MEM 2206.425781 1706516076.6570
MEM 2206.941406 1706516076.7969
MEM 2207.972656 1706516076.9386
MEM 2208.488281 1706516077.0750
MEM 2209.261719 1706516077.2104
MEM 2211.839844 1706516077.3462
MEM 2213.128906 1706516077.4817
MEM 2213.386719 1706516077.6165
MEM 2213.386719 1706516077.7518
MEM 2213.902344 1706516077.8869
MEM 2214.160156 1706516078.0226
MEM 2215.707031 1706516078.1576
MEM 2216.480469 1706516078.2942
MEM 2217.769531 1706516078.4330
MEM 2220.347656 1706516078.5714
MEM 2220.605469 1706516078.7088
MEM 2220.605469 1706516078.8444
MEM 2220.605469 1706516078.9798
MEM 2220.863281 1706516079.1152
MEM 2220.863281 1706516079.2508
MEM 2221.378906 1706516079.3874
MEM 2221.636719 1706516079.5280
MEM 2223.183594 1706516079.6640
MEM 2225.503906 1706516079.8003
MEM 2227.566406 1706516079.9359
MEM 2229.113281 1706516080.0721
MEM 2231.175781 1706516080.2075
MEM 2232.980469 1706516080.3432
MEM 2234.527344 1706516080.4786
MEM 2236.074219 1706516080.6135
MEM 2236.847656 1706516080.7493
MEM 2237.878906 1706516080.8849
MEM 2238.394531 1706516081.0209
MEM 2238.652344 1706516081.1567
MEM 2238.652344 1706516081.2920
MEM 2238.910156 1706516081.4270
MEM 2239.425781 1706516081.5629
MEM 2240.199219 1706516081.7043
MEM 2243.035156 1706516081.8424
MEM 2243.808594 1706516081.9802
MEM 2245.097656 1706516082.1155
MEM 2245.097656 1706516082.2510
MEM 2245.097656 1706516082.3865
MEM 2245.097656 1706516082.5223
MEM 2245.613281 1706516082.6603
MEM 2246.902344 1706516082.7962
MEM 2247.933594 1706516082.9319
MEM 2248.191406 1706516083.0668
MEM 2249.480469 1706516083.2028
MEM 2249.480469 1706516083.3384
MEM 2250.253906 1706516083.4724
MEM 2251.027344 1706516083.6071
MEM 2251.800781 1706516083.7429
MEM 2252.316406 1706516083.8781
MEM 2252.316406 1706516084.0135
MEM 2252.316406 1706516084.1485
MEM 2252.574219 1706516084.2872
MEM 2252.832031 1706516084.4223
MEM 2253.089844 1706516084.5579
MEM 2253.605469 1706516084.6929
MEM 2253.863281 1706516084.8282
MEM 2254.121094 1706516084.9639
MEM 2254.378906 1706516085.0998
MEM 2254.636719 1706516085.2367
MEM 2254.636719 1706516085.3747
MEM 2254.894531 1706516085.5110
MEM 2254.894531 1706516085.6487
MEM 2254.894531 1706516085.7850
MEM 2254.894531 1706516085.9208
MEM 2254.894531 1706516086.0569
MEM 2255.152344 1706516086.1927
MEM 2255.152344 1706516086.3289
MEM 2255.152344 1706516086.4657
MEM 2255.410156 1706516086.6008
MEM 2255.667969 1706516086.7445
MEM 2255.667969 1706516086.8808
MEM 2256.183594 1706516087.0164
MEM 2256.183594 1706516087.1531
MEM 2256.441406 1706516087.2887
MEM 2256.957031 1706516087.4241
MEM 2257.214844 1706516087.5595
MEM 2257.214844 1706516087.6968
MEM 2259.792969 1706516087.8328
MEM 2262.113281 1706516087.9681
MEM 2262.113281 1706516088.1031
MEM 2262.371094 1706516088.2380
MEM 2265.207031 1706516088.3752
MEM 2265.722656 1706516088.5132
MEM 2265.980469 1706516088.6499
MEM 2265.980469 1706516088.7861
MEM 2266.238281 1706516088.9232
MEM 2266.238281 1706516089.0594
MEM 2267.269531 1706516089.1961
MEM 2267.269531 1706516089.3331
MEM 2267.527344 1706516089.4700
MEM 2267.781250 1706516089.6060
MEM 2268.039062 1706516089.7414
MEM 2269.070312 1706516089.8763
MEM 2269.585938 1706516090.0128
MEM 2269.843750 1706516090.1492
MEM 2270.613281 1706516090.2856
MEM 2271.128906 1706516090.4211
